i,io
face,volto
family,famiglia
fact,fatto
fair,fiera
famous,famoso
fast,veloce
fat,grasso
first,primo
find,trovare
few,pochi
feet,piedi
feel,sentire
fear,paura
favor,favorire
feed,alimentazione
felt,feltro
fell,caduto
fill,riempire
figure,figura
fight,lotta
fig,fico
final,finale
fire,fuoco
finish,finitura
finger,dito
fish,pesce
fly,volare
five,cinque
fit,adattarsi
flower,fiore
flow,flusso
flat,appartamento
floor,piano
food,cibo
foot,piede
have,avere
had,aveva
get,ottenere
found,fondare
force,vigore
forest,foresta
forward,avanti
four,quattro
friend,amico
free,gratuito
fraction,frazione
fresh,fresco
full,completo
front,frontale
fruit,frutta
game,gioco
fun,divertimento
gave,ha dato
garden,giardino
gather,raccogliere
general,generale
gentle,dolce
good,buono
give,dare
girl,ragazza
go,andare
glass,vetro
glad,felice
gold,oro
grow,crescere
got,ottenuto
group,gruppo
green,verde
govern,governare
grand,grande
grass,erba
gray,grigio
ground,terra
grew,è cresciuto
guess,indovinare
gun,pistola
guide,guidare
hand,mano
half,metà
hair,capelli
has,ha
happen,accadere
hat,cappello
here,qui
help,aiutare
head,testa
heat,calore
heard,sentito
heart,cuore
heavy,pesante
held,tenuto
her,lei
him,lui
hill,collina
hi,salut
house,casa
horse,cavallo
hope,speranza
hole,foro
hit,colpire
history,storia
hour,ora
hundred,cento
human,umano
huge,enorme
hunt,caccia
hurry,fretta
was,era
they,essi
one,uno
is,è
inch,pollice
ice,ghiaccio
imagine,immaginare
interest,interesse
include,includere
industry,industria
indicate,indicare
insect,insetto
instant,immediato
iron,ferro
invent,inventare
it,esso
island,isola
must,mosto
men,maschi
light,luce
just,solo
joy,gioia
job,lavoro
join,aderire
jump,salto
know,sapere
keep,mantenere
knew,sapeva
king,re
kept,tenere
kill,uccidere
key,chiave
learn,imparare
last,ultimo
language,lingua
lady,signora
lake,lago
late,tardi
laugh,ridere
lead,portare
lay,porre
law,legge
left,sinistra
leave,lasciare
least,meno
led,portato
life,vita
letter,lettera
length,lunghezza
leg,gamba
lie,bugia
level,livello
lift,ascensore
live,vivere
little,poco
line,linea
like,likey
list,elenco
liquid,liquido
listen,ascoltare
man,uomo
low,basso
long,lungo
lone,solitario
locate,individuare
look,guardare
love,amore
lost,perso
loud,forte
lot,lotto
make,rendere
main,principale
machine,macchina
magnet,magnete
major,maggiore
mean,dire
many,molti
may,può
mark,marchio
map,mappa
matter,materia
material,materiale
market,mercato
match,partita
mass,massa
measure,misurare
meant,significava
melody,melodia
meet,si incontrano
meat,carne
mother,madre
more,di più
might,forza
middle,mezzo
method,metodo
metal,metallo
mile,miglio
moon,luna
miss,perdere
minute,minuto
mind,mente
million,milione
milk,latte
mine,miniera
money,soldi
mix,mescolare
moment,momento
modern,moderno
molecule,molecola
month,mese
most,più
morning,mattina
much,molto
move,spostare
mountain,montagna
mount,monte
motion,moto
mouth,bocca
music,musica
multiply,moltiplicare
off,spento
need,bisogno
near,vicino
name,nome
my,il mio
nation,nazione
natural,naturale
nature,natura
necessary,necessario
neck,collo
new,nuovo
neighbor,prossimo
number,numero
night,notte
north,nord
noon,mezzogiorno
nine,nove
noise,rumore
nor,né
nothing,niente
note,nota
nose,naso
noun,sostantivo
notice,avviso
numeral,numerale
object,oggetto
ocean,oceano
observe,osservare
occur,verificarsi
old,vecchio
office,ufficio
offer,offerta
oil,olio
once,una volta
the,il
out,fuori
our,il nostro
open,aperto
order,ordine
operate,operare
opposite,opposto
organ,organo
original,originale
said,suddetto
play,giocare
picture,immagine
part,parte
over,oltre
own,proprio
page,pagina
oxygen,ossigeno
paper,carta
paint,dipingere
pair,coppia
paragraph,paragrafo
parent,genitore
people,persone
pass,passare
party,partito
particular,particolare
pattern,modello
past,passato
path,sentiero
pay,pagare
person,persona
perhaps,forse
period,periodo
phrase,frase
place,posto
piece,pezzo
pitch,pece
plant,impianto
plain,pianura
planet,pianeta
put,mettere
port,porto
point,punto
please,per favore
poem,poesia
plural,plurale
poor,povero
populate,popolare
pose,posa
product,prodotto
problem,problema
possible,possibile
position,posizione
power,potenza
pound,libbra
post,Messaggio
probable,probabile
present,presente
practice,pratica
prepare,preparare
print,stampa
pretty,piuttosto
produce,produrre
process,processo
pull,tirare
prove,dimostrare
protect,proteggere
proper,corretto
property,proprietà
provide,fornire
push,spingere
read,leggere
question,domanda
quart,quarto di gallone
ran,corse
rain,pioggia
race,gara
quite,abbastanza
quiet,tranquillo
quotient,quoziente
rail,ferrovia
raise,aumentare
reach,raggiungere
range,gamma
right,diritto
real,reale
ready,pronto
red,rosso
reason,motivo
receive,ricevere
rest,resto
remember,ricordare
region,regione
represent,rappresentare
reply,rispondere
repeat,ripetizione
require,richiedere
ride,giro
result,risultato
rich,ricco
room,camera
river,fiume
rise,salire
ring,anello
road,strada
roll,rotolo
rule,regola
row,fila
root,radice
rose,rosa
rope,corda
rub,strofinare
safe,sicuro
spell,compitare
self,se stesso
same,stesso
sail,vela
salt,sale
see,vedere
school,scuola
saw,sega
save,salvare
sand,sabbia
scale,scala
sea,mare
science,scienza
score,punteggio
second,secondo
search,ricerca
season,stagione
seat,sedile
section,sezione
seem,sembrare
seed,seme
segment,segmento
select,selezionare
show,spettacolo
should,dovrebbe
short,breve
ship,nave
shape,forma
several,alcuni
serve,servire
sent,inviato
sense,senso
send,inviare
sell,vendere
separate,separato
seven,sette
shall,deve
sharp,tagliente
share,quota
sheet,foglio
shell,guscio
shore,riva
shoe,scarpa
shop,negozio
shoulder,spalla
sound,suono
side,lato
song,canzone
since,da
simple,semplice
sign,segno
sight,vista
silent,silenzioso
silver,argento
similar,simile
snow,neve
sing,cantare
six,sei
sit,sedersi
single,singolo
sister,sorella
slow,lento
size,dimensione
sleep,sonno
sky,cielo
skin,pelle
skill,abilità
slave,schiavo
slip,slittamento
smile,sorriso
smell,odore
soft,morbido
son,figlio
solve,risolvere
soil,suolo
soldier,soldato
solution,soluzione
south,sud
special,speciale
space,spazio
speak,parlare
speed,velocità
speech,discorso
such,tale
stand,stare in piedi
square,piazza
spring,primavera
spoke,raggio
spend,spendere
spread,spread
study,studio
state,stato
star,stella
stay,soggiornare
station,stazione
stead,vece
stood,sorgeva
step,passo
steam,vapore
steel,acciaio
stone,pietra
stick,bastone
strange,strano
straight,dritto
student,studente
string,stringa
stream,ruscello
stretch,tratto
subject,soggetto
substance,sostanza
success,successo
subtract,sottrarre
than,di
sun,sole
sudden,improvviso
summer,estate
suggest,suggerire
sugar,zucchero
suffix,suffisso
suit,tuta
talk,Discussioni
surface,superficie
supply,fornitura
support,supporto
system,sistema
syllable,sillaba
surprise,sorpresa
swim,nuoto
symbol,simbolo
tail,coda
table,tavolo
teach,insegnare
tall,alto
ten,dieci
temperature,temperatura
teeth,denti
term,termine
thank,grazie
there,ci
then,allora
them,loro
these,queste
this,questo
think,pensare
thing,cosa
thick,spesso
thin,sottile
third,terzo
three,tre
thought,pensiero
those,quelli
though,anche se
thousand,migliaia
want,desiderare
try,provare
through,attraverso
too,troppo
together,insieme
tire,pneumatico
tiny,piccolo
thus,così
throw,gettare
tie,cravatta
told,ha detto
tone,tono
tree,albero
took,ha preso
town,città
toward,verso
touch,toccare
tool,strumento
total,totale
travel,viaggi
train,treno
trade,commercio
track,pista
trains,trains#italian
trip,viaggio
triangle,triangolo
trouble,difficoltà
truck,camion
us,noi
under,sotto
turn,turno
tube,tubo
two,due
twenty,venti
type,tipo
up,su
until,fino a quando
use,uso
walk,camminare
usual,solito
verb,verbo
vary,variare
value,valore
valley,valle
vowel,vocale
voice,voce
visit,visita
village,villaggio
wall,muro
warm,caldo
war,guerra
with,con
were,erano
well,bene
way,modo
water,acqua
wash,lavaggio
wave,onda
week,settimana
weather,tempo
wear,indossare
weight,peso
went,è andato
will,volontà
why,perché
where,dove
when,quando
wheel,ruota
west,ovest
who,che
while,mentre
whether,se
white,bianco
whole,tutto
whose,la cui
wild,selvaggio
wife,moglie
wind,vento
win,vittoria
window,finestra
wish,desiderio
winter,inverno
wing,ala
wire,filo
word,parola
wood,legno
wonder,meraviglia
woman,donna
women,donne
won’t,non sarà
you,voi
world,mondo
year,anno
write,scrivere
would,sarebbe
written,scritto
wrote,ha scritto
wrong,sbagliato
yard,cantiere
xylophone,xilofono
xyz,zed
yes,sì
yellow,giallo
yet,ancora
your,il tuo
young,giovane
zebra,zebra
