propria,own
pubblico,public
serie,series
realtà,reality
allora,then
nome,first name
grandi,great
alcune,some
sviluppo,development
terra,land
saranno,they will be
sei,six
programma,program
chiesa,church
vista,view
consiglio,council
vero,TRUE
po',little'
diversi,different
campo,field
nostri,our
studio,study
presente,here i'm
bambini,children
settore,sector
milano,milan
senso,sense
generale,general
grado,degree
forma,form
uso,use
dato,given
seconda,second
lungo,long
sembra,it seems
politica,policy
vengono,are
mesi,months
tuo,your
esperienza,experience
problema,problem
gestione,management
sociale,social
mercato,market
diverse,different
maggio,may
periodo,period
famiglia,family
certo,of course
regione,region
almeno,at least
vedere,to see
nuove,new
fuori,out
opera,opera
personale,staff
italiana,italian
libro,book
ultimo,last
formazione,training
seguito,following
italiano,italian
troppo,too much
zona,area
giovani,young people
strada,street
persona,person
quest',quest '
sicurezza,safety
potrebbe,could
subito,immediately
dare,give
giugno,june
tratta,is
presenza,presence
governo,government
luogo,place
nuovi,new
porta,door
hai,you have
te,you
diritto,right
lei,she
film,movie
dagli,by
associazione,association
foto,photo
amore,love
parole,words
area,area
continua,keep it going
data,date
provincia,province
davvero,really
azienda,company
cura,care
tu,you
occasione,opportunity
regionale,regional
problemi,problems
prodotto,product
rete,network
ormai,by now
siano,are
qualcosa,something
arte,art
corpo,body
musica,music
produzione,production
attenzione,caution
mare,sea
cuore,heart
settembre,september
donne,women
no,no
gioco,game
fosse,it were
sede,seat
cultura,culture
articolo,article
dice,he says
luglio,july
spazio,space
percorso,route
incontro,meeting
buona,good
ordine,order
unico,single
scelta,choice
oppure,or
mano,but no
quattro,four
situazione,situation
nulla,nothing
ambiente,environment
milioni,millions
tua,your
natura,nature
voi,you
col,with the
rapporto,relationship
vuole,wants
luce,light
inizio,beginning
state,been
valore,value
presenti,present
punti,points
forza,power
titolo,title
giornata,day
semplice,simple
ottobre,october
condizioni,conditions
università,university
mezzo,half
conto,bill
forte,strong
aprile,april
primi,first
ecco,here
m,m
internazionale,international
avuto,had
marzo,march
fanno,they do
cittadini,citizens
trovare,to find
pochi,few
fronte,front
cioè,that is
termine,term
guerra,war
tempi,times
ambito,scope
piazza,square
nello,in
lavori,works
collaborazione,cooperation
dicembre,december
qualsiasi,any
causa,cause
successo,success
trova,find
controllo,control
alto,high
idea,idea
locali,locals
dunque,therefore
necessario,necessary
web,web
riferimento,reference
maggiore,greater
europa,europe
uomini,men
tema,theme
struttura,structure
tanti,many
andare,to go
ultimi,last
paesi,countries
risultati,results
ruolo,role
fondo,background
appena,as soon as
italiani,italian
scritto,written
bisogno,need
massimo,maximum
novembre,november
casi,cases
mese,month
Maria,mary
ultima,latest
morte,death
comunità,community
poter,can
ragazzi,boys
piccolo,small
partire,leave
possa,can
domenica,sunday
donna,woman
futuro,future
buon,good
gennaio,january
richiesta,request
studi,do you study
linea,line
padre,father
devono,must
capacità,capacity
video,video
